Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL,Is_Deal
Newly Built Two Terrace With A Private Compound,Other,"2 bedroom House for sale Ajah Lekki Lagos Ajah Lagos selling for ₦90,000,000.",90000000,2,2,3,Ajah Lekki Lagos Ajah Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-OB6cxdnrVOKEXXvFR8tC.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-ogkj1wQa5Z9AZNBq6kgU.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-sURUySedvvMAQZeckGPD.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-lK66SzB1NXWpkuPaOMiJ.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-f2n6jN7MJqwRlDVPmaIU.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-YELaF3xzEVB3yYUpGxng.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-A9oyxvjL5OUvZkSRRmQ9.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-J48ph3iwQ4NlSCR9dolV.jpeg"", ""https://images.propertypro.ng/large/newly-built-two-terrace-with-a-private-compound-vPb3Gh2VNmxXOEs1Z7MV.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/2-bedroom-house-for-sale-ajah-lekki-lagos-ajah-lagos-3PBZZ,False
5 Bedroom Semi Detached Duplex,Detached Duplex,"5 bedroom House for sale Ikate Lekki Lagos selling for ₦330,000,000.",330000000,5,5,6,Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-6HnKN0KpdRX3GtE2KfMm.png"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-ks569KnU8zW9IZ9EouYb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YmtmtcLRMd0cw49TytQH.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-YjQCsxoNFVocejVTQTWb.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-8VcB4pIsZNVVNmKRQxlU.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-yaIval9EbU9kg9si8Hya.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-p2OdKY2XML7cq0JQIhbj.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-5gVdzZ0uMLgnGbGRSytK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-BGddXULyO6Yjzoqa3VOc.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-vuTr7sE1GoyHebJPPfVu.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-3BD4xeRXIUG1bPIxgclC.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-tcr3AG4cUZcovJpMuYcW.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-0xMdNm1nw8LyCgCcjc6U.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-in-lekki-dd2J8ehZrNDNsZsIpu0t.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/5-bedroom-house-for-sale-ikate-lekki-lagos-1NWNC,True
Four Bedroom Semi Detached House &roof Top,Detached House,"4 bedroom House for sale Ikoyi Lagos Parkview Estate Ikoyi Lagos selling for ₦1,200,000,000.",1200000000,4,4,5,Ikoyi Lagos Parkview Estate Ikoyi Lagos,Ikoyi,Lagos,Nigeria,"[""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-bWAEGrNaRra7tEebFunJ.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-H6mZ7v6GZaqFitrqQdTk.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-1LvnZAxTM7Ns2QxYjI49.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-i2bCYthAqMllo3qKItHL.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-xN0y2bjLzTMZUjW3HtBl.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-s4ckG7QUJeAaq2AV4ooW.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-lDTQ2Hp2ghMWrByprPCB.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-hpW097G2QHjQ1T5PcKFv.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-zQCLwuE7x5v0CYkhmcbg.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-t9JX2X0kppZ7EutlTOzt.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-UZRATEN9uZjhPKUDavb8.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-U5DKYWMEyj7JaDuAL9gO.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-OjOLWVtPbjas2JxWBOeS.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-Bfq8sYtZBJwyOwFRVBR2.jpeg"", ""https://images.propertypro.ng/large/four-bedroom-semi-detached-house-amproof-top-afggEWrMXnSizjb4UQ0X.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-ikoyi-lagos-parkview-estate-ikoyi-lagos-4PAVM,False
Modern Contemporary 5 Bed Semi Detached Duplex,Detached Duplex,"4 bedroom House for sale Cowrie Creek Estate Ikate Lekki Lagos selling for ₦1,000,000,000.",1000000000,4,4,5,Cowrie Creek Estate Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-WRF9rjIUI0C09KQEDMOU.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-L0oDI3bcMy36fAP9DEYH.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-SOxoVSzaHqiyaYt8QRPL.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FfZfH66yFZF81XiqYBUK.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-OjxJE1rXWDQzLEQMcgk1.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZwOrSkpdGlt3zQ5X7zih.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-TDtLVY83OFvYMuxlIU89.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZgouDSo7gs0vJc3XcZjg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-79atGlw4xxEbyWi8F7Px.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-lgGm7b19HLBYbxsxyaFO.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-oYtyH8Yu9OVtzXH75oEN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-kmFKv5E5YDUtO8vLaQAc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-n1TiCqKu5oRPxZr3kdFu.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-BcQIGYC4NMEklATa4VaS.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-8NRk2JSTsLEPgQ5PxVzN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-0W5piBo2MQn0EAHibcsg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FlxVXNbckxdkSsSVHveE.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-z0vbjYFwATWgcnQXYLay.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-wZ7gQK4qbygkzSHHyOzc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-axBYXVfxeqkBydnRXCyn.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-mN8MzW9eloTGcT4fDszs.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""Drainage System"", ""Ocean View"", ""Parking Space"", ""C of O"", ""Security"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/4-bedroom-house-for-sale-cowrie-creek-estate-ikate-lekki-lagos-6PBYJ,False
5 Bedroom Semi Detached House,Detached House,"5 bedroom House for sale Idu Abuja selling for ₦370,000,000.",370000000,5,5,6,Idu Abuja,Idu,Abuja,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-dNTQm1GYRBCgTaVMgP1F.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-lulxwmTypHuYcYW9zf7L.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-DSCyM3gfmumvFANYgDfT.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pBBu4zsb8o8xpYBbHbQp.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-TU4nC5LQ5B8Hiklp01RI.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-rNoSkJQTHOhTL17DwuzK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-y6TyxhpuFnBfJQbgdyQ6.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-p7j2SFAhxgLPjideowAi.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pPGm9FP9ufGF3BHx8TD7.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-deOdrQf0nfDUe3i0B7dd.jpeg""]",Fully Furnished,"[""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""Restaurants Nearby"", ""All Room Ensuit"", ""Drainage System"", ""POP Ceiling"", ""Supermarket Nearby"", ""Parking Space"", ""Security"", ""Security doors"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/5-bedroom-house-for-sale-idu-abuja-0NVJU,True
4 Bedroom Terraced Duplex,Duplex,"4 bedroom House for sale Gwarinpa Abuja selling for ₦140,000,000.",140000000,4,4,4,Gwarinpa Abuja,Gwarinpa,Abuja,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-jGzRdCuvdKIQ53ONWrGn.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-9azLxB8dRLOUlADTiCMC.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-3EXe8px6IzPvLfbk7ETs.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-XkLrJR2TorAWVvfnvOWS.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-WKXY0n0sNVE2KlgiUOvY.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-l2WJUxHOOEMY0rsUZCXv.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-nGqXK8pQyknZeECszHGz.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-JzkZwWST5fDjTjb9xYSe.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-XpVjXMG3eLPRZWPoZKF8.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-gwarinpa-abuja-7NVSX,True
4 Bedroom Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦150,000,000.",150000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-RNvcJw1yck7jOaDUg4lS.jpg""]",Fully Furnished,"[""24 Hours Security"", ""Children Play Ground"", ""Big Compound"", ""Parking Space""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-9NQKA,True
4 Bedroom Maisonette,Other,"4 bedroom House for sale  Mojisola Onikoyi Estate Ikoyi Lagos selling for ₦1,700,000,000.",1700000000,4,4,5,Mojisola Onikoyi Estate Ikoyi Lagos,Ikoyi,Lagos,Nigeria,"[""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-yNS1RRByEuKsuMc6vAjP.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-nx8f3HTbPXbkMpHbeOZJ.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-8GkI23ovGgeJiwwVZiPc.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-GQD5A9w9KlnEyjJWNG9q.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-UckNJFaNjDAnWgFtPFnf.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-HGw3JMVfdZeCmaoeMWtJ.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-TQkkwUqisXivlt77utnF.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-LR63CMbtMvgM1uhIjYyT.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-BYMRpcnMLZCWb2g0hoH5.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-5BX88TrTaT6C4WNfXos1.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-OMwEVyMnti6L8LvxohdL.jpeg"", ""https://images.propertypro.ng/large/well-built-four-bedroom-massionte-house-amp-pent-floor-ImBvI105faWK9aeoCpyC.jpeg""]",Fully Furnished,[],https://propertypro.ng/property/4-bedroom-house-for-sale-mojisola-onikoyi-estate-ikoyi-lagos-9NYWT,False
Luxury 4 Bedroom Detached Bungalow,Bungalow,"4 bedroom House for sale Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju-Lekki Lagos selling for ₦80,000,000.",80000000,4,4,5,"Pan Atlantic, Lakowe Golf, Eleko Junction Ibeju Lekki Lagos",Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-k7Uj3iVaNtVTMcNiPn9S.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-qdrZv6NwSxM0EozV3oVT.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-GQMTwzBCxgwPYs0oPQKW.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-txulpRkP5rgkszAAi4zI.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-Vl6qtkOvIJrQHvHVJAwg.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-w86HuR8R54YhbR8ohUYm.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-ZAt2gR7p8hTTZEwDcQP8.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-gf4zJtY8ySnCNb7lNdfs.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-Ei3fB4BEBZtWYYzNBBvd.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-t0gms1mXT46DMxBE3gQ2.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-AklOCfDcia8OIxN4MDQu.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-vEEcmR9phPwRKi0OqGux.jpg"", ""https://images.propertypro.ng/large/ay-luxury-4-bedroom-detached-bungalow-WD2yqZlOvnxHJ98pBjqp.jpg""]",Fully Furnished,"[""Big Compound"", ""24 hours Electricity"", ""All Room Ensuit"", ""CCTV Cameras"", ""Drainage System"", ""C of O""]",https://propertypro.ng/property/4-bedroom-house-for-sale-pan-atlantic-lakowe-golf-eleko-junction-ibeju-lekki-lagos-2PAEF,True
Offplan 3 Bedroom Apartment With Payment Plan,Apartment,"3 bedroom Flat / Apartment for sale Allen Avenue Ikeja Lagos selling for ₦240,000,000.",240000000,3,0,0,Allen Avenue Ikeja Lagos,Ikeja,Lagos,Nigeria,"[""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-hh2v2zSpEnE8LMF6wRaD.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-ngsuz29ngFyz4Fgmtnfw.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-gd7KKlVW5Nkkzsc9K6We.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-6jMFOqUhYSOKcS2kN9Vd.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-Bb7N1bSzy5haXE4rb2aW.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-KOw4HVPaGAGfgZjS7TjQ.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-W38NT4Bl0h51cxqhj81E.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-wxdFtl9Cz3Y5s6Uh7uJb.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-mCOUyjLI9ZHbncMqYRln.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-9EECzf4SBggl8Jbg5RTL.jpeg"", ""https://images.propertypro.ng/large/premium-3-bedroom-apartment-with-bq-v0rEf7w7RehQ2xBPxHEQ.jpeg""]",Fully Furnished,"[""Governor's Consent"", ""All Room Ensuit"", ""POP Ceiling"", ""Boys Quater""]",https://propertypro.ng/property/3-bedroom-flat-apartment-for-sale-allen-avenue-ikeja-lagos-9NRWZ,False
