Property Name,Property Type,Description,Price,Bedrooms,Baths,Toilets,Location,City,State,Country,Images,Furnished,Features,URL
4 Bedroom Terrace Duplex,Terrace Duplex,"4 bedroom House for sale Katampe Extension Katampe Abuja selling for ₦250,000,000.",250000000,4,4,5,Katampe Extension Katampe Abuja,Katampe,Abuja,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-399a3bIf91qAmm0l42XV.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-2BiKGrndY17PPivtqqt0.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-KSpAqY9pDpfqy6jnRbFK.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-eIkr63nOh0VLDilCH45b.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-Z32s9REWbdtwflp8lpoO.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-dzNKZdmb6nL69nBBIOVE.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-0N19Zqupp5XMLmh9vcjc.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-74uGxhaF9wZpweO0MD6M.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-0x7HIpseTwGC3vD57qk5.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-b0j2Lyz9iILbH18FXcbW.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-BkC3hK94OUNJ2N5H09CS.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-g2GWrySIccb9x1eUhQjo.jpeg"", ""https://images.propertypro.ng/large/4-bedroom-terrace-duplex-for-sale-katampe-extension-ItE1LyMiAMBH7uYk59Bd.jpeg""]",Fully Furnished,"[""Street Lights"", ""24 Hours Security"", ""Big Compound"", ""Restaurants Nearby"", ""24 hours Electricity"", ""All Room Ensuit"", ""Drainage System"", ""Church Nearby"", ""Parking Space"", ""Supermarket Nearby"", ""C of O"", ""Security"", ""Mosques Nearby"", ""Boys Quater"", ""Security doors""]",https://propertypro.ng/property/4-bedroom-house-for-sale-katampe-extension-katampe-abuja-2NWDC
4 Bedroom Detached Duplex,Detached Duplex,"4 bedroom House for sale Kolapo Ishola Estate Akobo Ibadan Oyo selling for ₦200,000,000.",200000000,4,0,0,Kolapo Ishola Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/4-bedroom-detached-duplex-JFlAF0UnNp5uBG1soVsN.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-43H4DFkT9zGlb4FEjy3Z.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-QoSqygcLWpYQbWHmNSba.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-VqKc6aNgMQkTPaydH3nY.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-BzfmBEcr2LS38sva1iTq.jpg"", ""https://images.propertypro.ng/large/4-bedroom-detached-duplex-ykDRQZq6SfSDEEuSMGln.jpg""]",Fully Furnished,"[""Big Compound"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-kolapo-ishola-estate-akobo-ibadan-oyo-5NPXV
5bed Terraces+bq,Other,"5 bedroom House for sale (in An Estate) Maryland Lagos selling for ₦300,000,000.",300000000,5,6,6,(in An Estate) Maryland Lagos,Maryland,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5bed-terracesbq-aZ5uyJZfqdEt8ANYU1wF.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-Z370eN5VQ0KhJ80skx6k.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-d4zQaoR7Mgq7bObvEbIH.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-rLAhqRwLriG32g96yfp1.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-RWq96dKyVW1Mbg5n2mop.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-1my5FjGd3bKuHcrfSpb4.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-XJAGGlg1rRAJ48P8sXUM.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-vDOanfFFvsmYSV4pLZ2D.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-Ek40CMeRChcGJkIvcvBu.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-RVxSnd4xQzYhMVR4sf7W.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-PxK8NjJ68ipfzc3R10vK.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-ryc62w8GUlOwiijFp5FQ.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-LPoR8XBFFywDsucIvs4J.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-aquToDZfpJyxIou6GDAK.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-kMT59Ql33Q5LAhSPnHQC.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-Yo8oPXOL6vnSsfUIkxOo.jpg"", ""https://images.propertypro.ng/large/5bed-terracesbq-vNx3DClsHsuUmDeeUERN.jpg""]",Fully Furnished,"[""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""24 hours Electricity"", ""All Room Ensuit"", ""Jacuzzi"", ""CCTV Cameras"", ""Drainage System"", ""Parking Space"", ""Water Treatment"", ""POP Ceiling"", ""C of O"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-in-an-estate-maryland-lagos-5PBFQ
Brand New 5 Bedroom Detached Duplex,Detached Duplex,"5 bedroom House for sale Lekki Phase 1 Lekki Lagos selling for ₦1,200,000,000.",1200000000,5,5,6,Lekki Phase 1 Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-uYq2gQdZncpZp6FwpM7t.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-tttNBwA76X7YE5vRXHWe.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-041ve2jbeWPZY7IfsL4b.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-NdZzhzRUaPcOH5oE2ntc.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-H6dHc7BaU3om3iuPrmZC.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-UjqZlZjDvqz5bwfFWJMB.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-38jnpghaYuRBj28OxZ8U.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-ixUgMMgyZEJ2nUh0GcMT.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-JzAqEA0SS38mk4qwKNnq.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-v89HuoJjVqzZORi3mMBc.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-CadclSy3M2O3WresmKwV.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-LPgGiMxOqev4roS6wQ41.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-GLDhwEBRHUXduis85thD.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-AjOKBDVE37CJdAcvqWDJ.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-6bP6jWs7QZWlT6PjbwGN.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-BVQD7tpQAzExtQYxWjJR.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-NJzMRKbz2NIUlVGwAIbG.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-pybbmgFgb86mansUjSLd.jpeg"", ""https://images.propertypro.ng/large/brand-new-5-bedroom-detached-duplex-ddJrdHUpZoIfZTYPkqHE.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""All Room Ensuit"", ""Security"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-phase-1-lekki-lagos-4PBXQ
Semifinished 4 Bedroom Terraced Duplexes With Bq,Duplex,"4 bedroom House for sale Jahi Life Camp Abuja selling for ₦335,000,000.",335000000,4,4,6,Jahi Life Camp Abuja,Camp,Abuja,Nigeria,"[""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-xQ9kVSFlGHkofXr7t1rM.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-8eXd1WdxWZLPMjl8eMsG.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-jcPGYAsY31zzOFjH311m.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-rE2XCWm5eTa0A0cyEWix.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-Y2xuDzHxQgwSrRDim1pe.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-PtRFTqeJisENnVeDTvZV.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-66JtVOyqFJZvsD48O5ae.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-z3C8s1k7f4JhQoj5ZC2s.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-OgyY5kSMf32rMSxGAnfx.jpeg"", ""https://images.propertypro.ng/large/semifinished-4-bedroom-terraced-duplexes-with-bq-gHGa63jbM36h8oSEtooi.jpeg"", ""https://images.propertypro.ng/large/XbVfB-semifinished-4-bedroom-terraced-duplexes-with-bq-BpKHusnVLjAoxFj9hXvP.jpeg""]",Fully Furnished,"[""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""Drainage System"", ""POP Ceiling"", ""Parking Space"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-jahi-life-camp-abuja-2PBEQ
3 Bedroom Semi Detached Duplex,Detached Duplex,"3 bedroom House for sale Ikota Lekki Lagos selling for ₦130,000,000.",130000000,3,3,4,Ikota Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-4JNtqJaWYievy06XBiEK.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-CdZjouHKn5L2XMYaUSeO.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-OLKkMEOWcTvcle3JmLq7.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-aZQrFtyhDO6IkUUkeA9n.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-bGo6Ig2i4vUUA7PsA8ID.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-5vPpLoifQFagVD1gF6WR.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-YocJMNOny7tC7vxQEPjg.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-4DTJabcqTHjMy2Riz5Oj.jpg"", ""https://images.propertypro.ng/large/3-bedroom-semi-detached-duplex-lqIa9vfvAodIjeEKmAy5.jpg""]",Fully Furnished,[],https://propertypro.ng/property/3-bedroom-house-for-sale-ikota-lekki-lagos-9NXFN
5 Bedroom Semi Detached House,Detached House,"5 bedroom House for sale Idu Abuja selling for ₦370,000,000.",370000000,5,5,6,Idu Abuja,Idu,Abuja,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-dNTQm1GYRBCgTaVMgP1F.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-lulxwmTypHuYcYW9zf7L.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-DSCyM3gfmumvFANYgDfT.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pBBu4zsb8o8xpYBbHbQp.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-TU4nC5LQ5B8Hiklp01RI.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-rNoSkJQTHOhTL17DwuzK.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-y6TyxhpuFnBfJQbgdyQ6.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-p7j2SFAhxgLPjideowAi.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-pPGm9FP9ufGF3BHx8TD7.jpeg"", ""https://images.propertypro.ng/large/5-bedroom-semidetached-house-for-sale-at-idu-deOdrQf0nfDUe3i0B7dd.jpeg""]",Fully Furnished,"[""Street Lights"", ""Big Compound"", ""24 Hours Security"", ""Restaurants Nearby"", ""All Room Ensuit"", ""Drainage System"", ""POP Ceiling"", ""Supermarket Nearby"", ""Parking Space"", ""Security"", ""Security doors"", ""Boys Quater"", ""Fast Internet""]",https://propertypro.ng/property/5-bedroom-house-for-sale-idu-abuja-0NVJU
5 Bedroom Semi Detached Duplex,Detached Duplex,"5 bedroom House for sale Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos selling for ₦210,000,000.",210000000,5,0,0,"Lekki Palms City Estate, Off Lekki Epe Express Way Ado Road Ajah Lagos",Ajah,Lagos,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-t7Sv19EHJGB40RqS2oOA.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-hnIE1ZCBNI4AXzvkU601.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-7wZTBsmBrblpEqwIz2nm.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-z3CwVQlBKg15OseUGlxS.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-6xH0mupDLEf9cOe5dm9Q.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-j6KnjNfpMAKeU45MHBB1.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-NjRuwoe8GLoeUkcfHBjo.jpg"", ""https://images.propertypro.ng/large/5-bedroom-semi-detached-duplex-bq-beOChSPwn3Dn9kFE7VnU.jpg""]",Fully Furnished,"[""Swimming Pool"", ""Governor's Consent"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-lekki-palms-city-estate-off-lekki-epe-express-way-ado-road-ajah-lagos-7NWAS
5 Bedroom Bungalow,Bungalow,"5 bedroom House for sale Ayegoro Estate Akobo Ibadan Oyo selling for ₦145,000,000.",145000000,5,6,6,Ayegoro Estate Akobo Ibadan Oyo,Ibadan,Oyo,Nigeria,"[""https://images.propertypro.ng/large/5-bedroom-bungalow-xK0L6E1O5pQu6sE9jgls.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-BS8vluhNZkcip4DTFuYd.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-lMustTPFTimGlTxcE8Tt.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-JmfFldyerDMUZFjSJFzR.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-CI33BoO2sVSsaSak6wH1.jpg"", ""https://images.propertypro.ng/large/5-bedroom-bungalow-FIdF0H7DDhhshqK4a3vT.jpg""]",Fully Furnished,"[""Big Compound"", ""Boys Quater""]",https://propertypro.ng/property/5-bedroom-house-for-sale-ayegoro-estate-akobo-ibadan-oyo-0NPVV
Modern Contemporary 5 Bed Semi Detached Duplex,Detached Duplex,"4 bedroom House for sale Cowrie Creek Estate Ikate Lekki Lagos selling for ₦1,000,000,000.",1000000000,4,4,5,Cowrie Creek Estate Ikate Lekki Lagos,Lekki,Lagos,Nigeria,"[""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-WRF9rjIUI0C09KQEDMOU.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-L0oDI3bcMy36fAP9DEYH.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-SOxoVSzaHqiyaYt8QRPL.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FfZfH66yFZF81XiqYBUK.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-OjxJE1rXWDQzLEQMcgk1.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZwOrSkpdGlt3zQ5X7zih.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-TDtLVY83OFvYMuxlIU89.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-ZgouDSo7gs0vJc3XcZjg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-79atGlw4xxEbyWi8F7Px.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-lgGm7b19HLBYbxsxyaFO.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-oYtyH8Yu9OVtzXH75oEN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-kmFKv5E5YDUtO8vLaQAc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-n1TiCqKu5oRPxZr3kdFu.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-BcQIGYC4NMEklATa4VaS.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-8NRk2JSTsLEPgQ5PxVzN.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-0W5piBo2MQn0EAHibcsg.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-FlxVXNbckxdkSsSVHveE.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-z0vbjYFwATWgcnQXYLay.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-wZ7gQK4qbygkzSHHyOzc.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-axBYXVfxeqkBydnRXCyn.jpeg"", ""https://images.propertypro.ng/large/modern-contemporary-5-bed-semi-detached-duplex-mN8MzW9eloTGcT4fDszs.jpeg""]",Fully Furnished,"[""Swimming Pool"", ""Big Compound"", ""All Room Ensuit"", ""24 hours Electricity"", ""Drainage System"", ""Ocean View"", ""Parking Space"", ""C of O"", ""Security"", ""Security doors"", ""Boys Quater""]",https://propertypro.ng/property/4-bedroom-house-for-sale-cowrie-creek-estate-ikate-lekki-lagos-6PBYJ
